OFFENSE_ID,OFFENSE_CODE,OFFENSE_CODE_EXTENSION,OFFENSE_TYPE_ID,OFFENSE_TYPE_NAME,OFFENSE_CATEGORY_ID,OFFENSE_CATEGORY_NAME,IS_CRIME,IS_TRAFFIC
1,199,0,sovereign-treason-viol,Treason,all-other-crimes,All Other Crimes,1,0
2,399,0,immigration-violations,Immigration violation,all-other-crimes,All Other Crimes,1,0
3,902,0,homicide-family,Homicide by a family member,murder,Murder,1,0
4,903,0,hom-willful-kill-non-family-gu,Homicide by a stranger w/gun,murder,Murder,1,0
5,904,0,hom-willful-kill-nonfam-wp,Homicide by a stranger w/weapon,murder,Murder,1,0
6,907,0,homicide-police-by-gun,Homicide of a Police Officer w/gun,murder,Murder,1,0
7,908,0,homicide-police-weapon,Homicide of a Police Officer w/weapon,murder,Murder,1,0
8,910,0,homicide-negligent,Homicide by negligence,murder,Murder,1,0
9,911,0,hom-wilful-kill-gun,Homicide by gun,murder,Murder,1,0
10,912,0,homicide-other,Homicide by other means,murder,Murder,1,0
11,1003,0,kidnap-minor-to-sex-aslt,Kidnap minor to sexually assault,all-other-crimes,All Other Crimes,1,0
12,1004,0,kidnap-adult-to-sex-aslt,Kidnap adult to sexually assault,all-other-crimes,All Other Crimes,1,0
13,1005,0,kidnap-juvenile-victim,Kidnap a minor,all-other-crimes,All Other Crimes,1,0
229,1006,0,kidnap-adult-victim,Kidnap an adult,all-other-crimes,All Other Crimes,1,0
14,1006,1,kidnap-dv,Domestic violence kidnapping,all-other-crimes,All Other Crimes,1,0
15,1008,0,kidnap-abduct-no-ransom-aslt,Abduction without ransom or assault,all-other-crimes,All Other Crimes,1,0
16,1009,0,kidnap-hijack-aircraft,Hijack an aircraft,all-other-crimes,All Other Crimes,1,0
17,1010,0,kidnap-parental,Kidnapping by parent,all-other-crimes,All Other Crimes,1,0
18,1011,0,kidnap-minor-nonparental,Kidnapping of a minor by non-parent,all-other-crimes,All Other Crimes,1,0
19,1099,0,false-imprisonment,False Imprisonment,all-other-crimes,All Other Crimes,1,0
20,1101,0,sex-aslt-gun,"Rape, perpetrator had a gun",sexual-assault,Sexual Assault,1,0
230,1102,0,sex-aslt-rape,Rape,sexual-assault,Sexual Assault,1,0
21,1102,1,sex-aslt-rape-pot,Rape by a person in a position of trust,sexual-assault,Sexual Assault,1,0
22,1103,0,sex-aslt-strong-arm,Rape using the threat of violence,sexual-assault,Sexual Assault,1,0
